DateTime,wd,ws
2025-06-03T14:15:00Z,335.13153,1.7201914
2025-06-03T14:30:00Z,331.09787,1.1677514
2025-06-03T14:45:00Z,150.34103,1.2827394
2025-06-03T15:00:00Z,159.00783,2.1775975
2025-06-03T15:15:00Z,165.0062,3.354831
2025-06-03T15:30:00Z,154.81216,2.9915042
2025-06-03T15:45:00Z,135.0416,3.3054135
2025-06-03T16:00:00Z,143.4501,3.6392372
2025-06-03T16:15:00Z,148.32066,3.2472486
2025-06-03T16:30:00Z,155.73306,2.6659994
2025-06-03T16:45:00Z,162.08403,2.40697
2025-06-03T17:00:00Z,151.58372,2.9010518
2025-06-03T17:15:00Z,160.21983,4.1596675
2025-06-03T17:30:00Z,163.75932,4.605255
2025-06-03T17:45:00Z,176.5246,4.926576
2025-06-03T18:00:00Z,179.8591,5.122992
2025-06-03T18:15:00Z,169.89627,5.936075
2025-06-03T18:30:00Z,175.58939,6.057973
2025-06-03T18:45:00Z,177.84482,6.130331
2025-06-03T19:00:00Z,177.2904,5.0017395
2025-06-03T19:15:00Z,170.28784,4.9278283
2025-06-03T19:30:00Z,195.81165,5.921801
2025-06-03T19:45:00Z,199.85472,8.519729
2025-06-03T20:00:00Z,200.89148,8.511363
2025-06-03T20:15:00Z,200.99498,7.3879724
2025-06-03T20:30:00Z,191.81409,9.221213
2025-06-03T20:45:00Z,186.67459,6.947368
2025-06-03T21:00:00Z,195.95036,6.0734167
2025-06-03T21:15:00Z,199.03279,6.3180466
2025-06-03T21:30:00Z,186.33932,8.955468
2025-06-03T21:45:00Z,183.26099,9.866201
2025-06-03T22:00:00Z,190.4614,10.519951
2025-06-03T22:15:00Z,195.09586,10.749849
2025-06-03T22:30:00Z,197.28839,8.389402
2025-06-03T22:45:00Z,201.2658,5.2669845
2025-06-03T23:00:00Z,184.80956,4.008546
2025-06-03T23:15:00Z,198.47688,5.9952555
2025-06-03T23:30:00Z,209.81764,6.7427263
2025-06-03T23:45:00Z,209.7574,7.4025517
2025-06-04T00:00:00Z,207.2069,8.55318
2025-06-04T00:15:00Z,205.2002,6.1429043
2025-06-04T00:30:00Z,211.07355,5.485944
2025-06-04T00:45:00Z,207.62323,6.4650373
2025-06-04T01:00:00Z,210.98782,6.5079947
2025-06-04T01:15:00Z,203.9959,5.997849
