wind_direction,wind_speed
304.66092,6.456077
300.47684,6.498987
289.98334,6.454712
294.14755,6.723764
299.62823,6.9612336
308.46036,8.147909
307.06958,6.4570637
309.59988,4.440144
247.53174,2.9039466
251.20753,4.329164
249.99365,4.0375676
247.12317,4.212148
256.35565,3.7118704
254.51596,3.7326498
284.56238,3.5261512
268.53192,3.7613113
277.13647,4.7461696
267.2284,5.545125
281.9311,5.788994
304.72675,7.4868116
317.15375,10.242245
310.75327,9.64091
295.43384,9.4744425
291.83374,8.666845
272.8831,8.119726
279.58057,10.3422
276.77484,9.949195
282.15265,9.2800865
266.9289,9.434773
259.26074,9.145615
277.3449,8.052724
286.2324,6.8505707
281.2177,6.374737
282.79895,4.043031
287.2261,4.6987143
218.08441,4.0015683
206.08675,4.733445
211.70839,5.5434833
191.56577,6.482619
182.36148,6.7965016
169.33679,5.908499
175.873,6.31817
195.40613,4.8608932
212.46785,4.866812
186.15894,4.7505045
213.38739,5.466875
216.90271,5.6389527
217.48137,4.819317
219.80534,7.495555
217.27902,7.707177
205.39032,6.408189
208.71344,5.9082146
204.22427,4.8729024
218.90132,8.505962
220.71577,7.443416
222.40988,5.648562
230.19574,3.3584588
224.01862,4.2740717
224.15903,10.005705
215.97697,9.312074
206.69972,11.385664
198.05989,12.017172
201.38092,12.662886
199.77333,12.549129
198.50023,11.888859
198.29515,11.461837
198.65485,9.741944
196.45683,9.483866
199.96269,8.562678
205.69835,8.4048605
207.46313,7.6974335
272.3372,3.1218085
208.17255,2.1716576
213.73691,6.4276533
217.65051,7.6630077
224.52289,6.961019
215.92746,4.9245677
196.0184,5.1630745
195.01186,6.990654
207.21954,7.9176974
203.44298,8.811011
202.36752,8.716478
214.0764,7.8184066
238.12772,6.064349
249.3228,5.6293135
286.54385,3.9421935
313.63928,4.23742
344.77707,3.8069007
21.220114,5.567614
28.392498,5.138815
43.79354,8.59972
72.45282,4.7309403
152.2199,2.7599933
219.70583,2.3980498
301.52133,3.692324
